experiment,model,phase,window_id,day,y_true,y_score,f1,pr_auc,roc_auc,fpr,n
D,GAT+LSTM_no_adapt,1,24,mon,0.0,0.00015864134184084833,0.0,0.5,,0.0,19
D,GAT+LSTM_no_adapt,1,25,mon,0.0,0.00018428133626002818,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,26,mon,0.0,0.000168996601132676,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,27,mon,0.0,0.0001455385790904984,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,28,mon,0.0,0.00014875576016493142,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,29,mon,0.0,0.00015900300059001893,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,30,mon,0.0,0.0001899157650768757,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,31,mon,0.0,0.00015077099669724703,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,32,mon,0.0,0.0003778293030336499,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,33,mon,0.0,0.00017853597819339484,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,34,mon,0.0,0.00025002914480865,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,35,mon,0.0,0.00016189167217817158,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,36,mon,0.0,0.0001748815120663494,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,37,mon,0.0,0.00015904757310636342,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,38,mon,0.0,0.00016580669034738094,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,39,mon,0.0,0.00018890693900175393,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,40,mon,0.0,0.00019488150428514928,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,41,mon,0.0,0.00018593849381431937,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,42,mon,0.0,0.00015847021131776273,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,43,mon,0.0,0.00017303868662565947,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,44,mon,0.0,0.00017875384946819395,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,45,mon,0.0,0.00017403597303200513,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,46,mon,0.0,0.00020268101070541888,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,47,mon,0.0,0.00020891854364890605,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,48,mon,0.0,0.00020576555107254535,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,49,mon,0.0,0.0001479029015172273,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,50,mon,0.0,0.00015109451487660408,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,51,mon,0.0,0.00013900677731726319,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,52,mon,0.0,0.00013517581101041287,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,53,mon,0.0,0.00013729793136008084,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,54,mon,0.0,0.00019044690998271108,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,55,mon,0.0,0.00015730586892459542,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,56,mon,0.0,0.0001397294399794191,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,57,mon,0.0,0.00015794328646734357,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,58,mon,0.0,0.00014343851944431663,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,59,mon,0.0,0.00014862148964311928,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,60,mon,0.0,0.00013695783854927868,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,61,mon,0.0,0.00015851433272473514,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,62,mon,0.0,0.00014491377805825323,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,63,mon,0.0,0.00017837263294495642,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,64,mon,0.0,0.0001621917326701805,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,65,mon,0.0,0.00013567140558734536,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,66,mon,0.0,0.0001959779328899458,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,67,mon,0.0,0.00020247066277079284,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,68,mon,0.0,0.00014416745398193598,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,69,mon,0.0,0.00014469159941654652,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,70,mon,0.0,0.00016422521730419248,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,71,mon,0.0,0.00018769520102068782,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,72,mon,0.0,0.00015681644435971975,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,73,mon,0.0,0.0001484226668253541,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,74,mon,0.0,0.00817951187491417,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,75,mon,0.0,0.00026417814660817385,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,76,mon,0.0,0.00026332263951189816,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,77,mon,0.0,0.00022199685918167233,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,78,mon,0.0,0.00021908621420152485,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,79,mon,0.0,0.00022761190484743565,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,80,mon,0.0,0.00021463935263454914,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,81,mon,0.0,0.00013953066081739962,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,82,mon,0.0,0.00013997133646626025,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,83,mon,0.0,0.0001433512952644378,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,84,mon,0.0,0.0001402695634169504,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,85,mon,0.0,0.0001559197553433478,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,86,mon,0.0,0.00015636387979611754,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,87,mon,0.0,0.0001432207936886698,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,88,mon,0.0,0.0001418467436451465,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,89,mon,0.0,0.00047249466297216713,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,90,mon,0.0,0.00015800174151081592,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,91,mon,0.0,0.00016893989231903106,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,92,mon,0.0,0.00015504607290495187,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,93,mon,0.0,0.00013905132072977722,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,94,mon,0.0,0.0001367034128634259,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,95,mon,0.0,0.00017367259715683758,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,96,mon,0.0,0.00015232179430313408,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,97,mon,0.0,0.00017602463776711375,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,98,mon,0.0,0.00022126951080281287,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,99,mon,0.0,0.0001478786434745416,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,100,mon,0.0,0.00016576526104472578,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,101,mon,0.0,0.0001520963996881619,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,102,mon,0.0,0.00014645126066170633,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,103,mon,0.0,0.0001572121400386095,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,104,mon,0.0,0.00016415132267866284,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,105,mon,0.0,0.0001461679203202948,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,106,mon,0.0,0.00013865900109522045,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,107,mon,0.0,0.00014416374324355274,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,108,mon,0.0,0.0001469495182391256,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,109,mon,0.0,0.00020211481023579836,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,110,mon,0.0,0.0001663638249738142,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,111,mon,0.0,0.0003027046041097492,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,112,mon,0.0,0.00015695765614509583,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,113,mon,0.0,0.00013718735135626048,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,114,mon,0.0,0.00013502867659553885,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,115,mon,0.0,0.00014240076416172087,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,116,mon,0.0,0.00014561243006028235,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,117,mon,0.0,0.00017820265202317387,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,118,mon,0.0,0.00024382353876717389,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,119,mon,0.0,0.00019930719281546772,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,120,mon,0.0,0.00015569703828077763,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,121,mon,0.0,0.00013875396689400077,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,122,mon,0.0,0.000134989561047405,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,123,mon,0.0,0.00016036847955547273,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,124,mon,0.0,0.0001552443136461079,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,125,mon,0.0,0.00015862940927036107,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,126,mon,0.0,0.00017817392654251307,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,127,mon,0.0,0.0001470790448365733,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,128,mon,0.0,0.0001493055751780048,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,129,mon,0.0,0.0001712903758743778,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,130,mon,0.0,0.00018486914632376283,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,131,mon,0.0,0.00016818271251395345,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,132,mon,0.0,0.00013443628267850727,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,133,mon,0.0,0.00014238079893402755,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,134,mon,0.0,0.00014336290769279003,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,135,mon,0.0,0.00022120789799373597,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,136,mon,0.0,0.00016874828725121915,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,137,mon,0.0,0.00023999078257475048,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,138,mon,0.0,0.00016602990217506886,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,139,mon,0.0,0.0002669047680683434,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,140,mon,0.0,0.0002049664471996948,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,141,mon,0.0,0.00036096578696742654,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,142,mon,0.0,0.00014795438619330525,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,143,mon,0.0,0.00014396346523426473,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,144,mon,0.0,0.00014578443369828165,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,145,mon,0.0,0.00015714485198259354,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,146,mon,0.0,0.00017241119348909706,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,147,mon,0.0,0.00014795847528148443,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,148,mon,0.0,0.00017334980657324195,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,149,mon,0.0,0.00017209698853548616,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,150,mon,0.0,0.00015762762632220984,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,151,mon,0.0,0.00015486714255530387,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,152,mon,0.0,0.00014163024025037885,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,153,mon,0.0,0.00014627946075052023,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,154,mon,0.0,0.0001853773428592831,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,155,mon,0.0,0.0001459151681046933,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,156,mon,0.0,0.00027198056341148913,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,157,mon,0.0,0.000159943345352076,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,158,mon,0.0,0.00014295693836174905,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,159,mon,0.0,0.00014984825975261629,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,160,mon,0.0,0.00013748697529081255,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,161,mon,0.0,0.00015587813686579466,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,162,mon,0.0,0.0001388478121953085,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,163,mon,0.0,0.00015623973740730435,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,164,mon,0.0,0.00014407937123905867,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,165,mon,0.0,0.00017219352594111115,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,166,mon,0.0,0.00014043149712961167,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,167,mon,0.0,0.0004584706330206245,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,168,mon,0.0,0.00019486255769152194,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,169,mon,0.0,0.00014289819227997214,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,170,mon,0.0,0.00014456156350206584,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,171,mon,0.0,0.0001650099002290517,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,172,mon,0.0,0.00014372507575899363,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,173,mon,0.0,0.0002493468637112528,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,174,mon,0.0,0.00016487542598042637,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,175,mon,0.0,0.00014072023623157293,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,176,mon,0.0,0.00014070038741920143,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,177,mon,0.0,0.00014015217311680317,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,178,mon,0.0,0.00015903118764981627,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,179,mon,0.0,0.0001535016344860196,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,180,mon,0.0,0.000151119296788238,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,181,mon,0.0,0.00013814761769026518,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,182,mon,0.0,0.0001493162417318672,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,183,mon,0.0,0.00014202838065102696,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,184,mon,0.0,0.00015610155242029577,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,185,mon,0.0,0.00015175393491517752,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,186,mon,0.0,0.00015179965703282505,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,187,mon,0.0,0.00017069120076484978,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,188,mon,0.0,0.00014246160571929067,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,189,mon,0.0,0.00014376592298503965,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,190,mon,0.0,0.0001430312404409051,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,191,mon,0.0,0.00014821179502177984,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,192,mon,0.0,0.00017777511675376445,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,193,mon,0.0,0.0001638040557736531,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,194,mon,0.0,0.0004431082052178681,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,195,mon,0.0,0.00020142510766163468,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,196,mon,0.0,0.00016733954544179142,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,197,mon,0.0,0.00013707359903492033,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,198,mon,0.0,0.0001822758640628308,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,199,mon,0.0,0.0001597074297023937,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,200,mon,0.0,0.00015122423064894974,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,201,mon,0.0,0.00015058247663546354,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,202,mon,0.0,0.00014002874377183616,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,203,mon,0.0,0.0001351273531327024,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,204,mon,0.0,0.00021289709548000246,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,205,mon,0.0,0.0001503825915278867,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,206,mon,0.0,0.00019892462296411395,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,207,mon,0.0,0.00013873768330086023,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,208,mon,0.0,0.00014841347001492977,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,209,mon,0.0,0.0001440255146007985,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,210,mon,0.0,0.0001734086690703407,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,211,mon,0.0,0.0001424641814082861,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,212,mon,0.0,0.00017353369912598282,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,213,mon,0.0,0.00019575045735109597,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,214,mon,0.0,0.00013926760584581643,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,215,mon,0.0,0.00014350377023220062,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,216,mon,0.0,0.0001404188951710239,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,217,mon,0.0,0.00014331219426821917,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,218,mon,0.0,0.00014351306890603155,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,219,mon,0.0,0.00036408103187568486,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,220,mon,0.0,0.00015751810860820115,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,221,mon,0.0,0.00027660824707709253,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,222,mon,0.0,0.00018855350208468735,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,223,mon,0.0,0.00020144220616202801,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,224,mon,0.0,0.0001373215054627508,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,225,mon,0.0,0.00013554275210481137,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,226,mon,0.0,0.0001444761292077601,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,227,mon,0.0,0.00015542989422101527,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,228,mon,0.0,0.00016586804122198373,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,229,mon,0.0,0.00017911267059389502,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,230,mon,0.0,0.0001524822146166116,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,231,mon,0.0,0.00015611016715411097,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,232,mon,0.0,0.00014272292901296169,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,233,mon,0.0,0.00016031406994443387,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,234,mon,0.0,0.00020190812938380986,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,235,mon,0.0,0.00014612289669457823,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,236,mon,0.0,0.00014225798076950014,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,237,mon,0.0,0.00013634761853609234,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,238,mon,0.0,0.00014512561028823256,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,239,mon,0.0,0.00016697455430403352,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,240,mon,0.0,0.00037489121314138174,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,241,mon,0.0,0.0006220336654223502,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,242,mon,0.0,0.00038372777635231614,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,243,mon,0.0,0.00021828929311595857,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,244,mon,0.0,0.00015194606385193765,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,245,mon,0.0,0.0001398501917719841,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,246,mon,0.0,0.00014257658040151,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,247,mon,0.0,0.0001347973884548992,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,248,mon,0.0,0.0001587269944138825,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,249,mon,0.0,0.0001428126561222598,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,250,mon,0.0,0.00016303679149132222,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,251,mon,0.0,0.00016306943143717945,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,252,mon,0.0,0.0001360386813757941,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,253,mon,0.0,0.00014410189760383219,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,254,mon,0.0,0.00015841008280403912,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,255,mon,0.0,0.00013991209561936557,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,256,mon,0.0,0.000145541358506307,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,257,mon,0.0,0.0001502904196968302,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,258,mon,0.0,0.00013872564886696637,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,259,mon,0.0,0.00013824485358782113,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,260,mon,0.0,0.00014134260709397495,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,261,mon,0.0,0.00014828643179498613,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,262,mon,0.0,0.00014371027646120638,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,263,mon,0.0,0.00017855028272606432,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,264,mon,0.0,0.00014937946980353445,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,265,mon,0.0,0.0001437956525478512,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,266,mon,0.0,0.0001541631791042164,0.0,0.5,,0.0,20
D,GAT+LSTM_no_adapt,1,267,mon,0.0,0.00013762274465989321,0.0,0.5,,0.0,20
